        Time / s                E-Field (0 0 3.27899)(X) [1]/real
----------------------------------------------------------------------
                       0                               0
          1.7712786e-012                               0
          3.5425571e-012                               0
          5.3138357e-012                               0
          7.0851143e-012                               0
          8.8563928e-012                               0
          1.0627671e-011                               0
           1.239895e-011                               0
          1.4170229e-011                               0
          1.5941507e-011                               0
          1.7712786e-011                               0
          1.9484064e-011                               0
          2.1255343e-011                               0
          2.3026621e-011                               0
            2.47979e-011                               0
          2.6569179e-011                               0
          2.8340457e-011                               0
          3.0111736e-011                               0
          3.1883014e-011                               0
          3.3654293e-011                               0
          3.5425571e-011                               0
           3.719685e-011                               0
          3.8968129e-011                               0
          4.0739407e-011                               0
          4.2510686e-011                               0
          4.4281964e-011                               0
          4.6053243e-011                               0
          4.7824521e-011                               0
            4.95958e-011                               0
          5.1367079e-011                               0
          5.3138357e-011                               0
          5.4909636e-011                               0
          5.6680914e-011                               0
          5.8452193e-011                               0
          6.0223471e-011                               0
           6.199475e-011                               0
          6.3766028e-011                               0
          6.5537307e-011                               0
          6.7308586e-011                               0
          6.9079864e-011                               0
          7.0851143e-011                               0
          7.2622421e-011                               0
            7.43937e-011                               0
          7.6164978e-011                               0
          7.7936257e-011                               0
          7.9707536e-011                               0
          8.1478814e-011                               0
          8.3250093e-011                               0
          8.5021371e-011                               0
           8.679265e-011                               0
          8.8563928e-011                               0
          9.0335207e-011                               0
          9.2106486e-011                               0
          9.3877764e-011                               0
          9.5649043e-011                               0
          9.7420321e-011                               0
            9.91916e-011                               0
          1.0096288e-010                               0
          1.0273416e-010                               0
          1.0450544e-010                               0
          1.0627671e-010                               0
          1.0804799e-010                               0
          1.0981927e-010                               0
          1.1159055e-010                               0
          1.1336183e-010                               0
          1.1513311e-010                               0
          1.1690439e-010                               0
          1.1867566e-010                               0
          1.2044694e-010                               0
          1.2221822e-010                               0
           1.239895e-010                               0
          1.2576078e-010                               0
          1.2753206e-010                               0
          1.2930334e-010                               0
          1.3107461e-010                               0
          1.3284589e-010                               0
          1.3461717e-010                               0
          1.3638845e-010                               0
          1.3815973e-010                               0
          1.3993101e-010                               0
          1.4170229e-010                               0
          1.4347356e-010                               0
          1.4524484e-010                               0
          1.4701612e-010                               0
           1.487874e-010                               0
          1.5055868e-010                               0
          1.5232996e-010                               0
          1.5410124e-010                               0
          1.5587251e-010                               0
          1.5764379e-010                               0
          1.5941507e-010                               0
          1.6118635e-010                               0
          1.6295763e-010                               0
          1.6472891e-010                               0
          1.6650019e-010                               0
          1.6827146e-010                               0
          1.7004274e-010                               0
          1.7181402e-010                               0
           1.735853e-010                               0
          1.7535658e-010                               0
          1.7712786e-010                               0
          1.7889914e-010                               0
          1.8067041e-010                               0
          1.8244169e-010                               0
          1.8421297e-010                               0
          1.8598425e-010                               0
          1.8775553e-010                               0
          1.8952681e-010                               0
          1.9129809e-010                               0
          1.9306936e-010                               0
          1.9484064e-010                               0
          1.9661192e-010                               0
           1.983832e-010                               0
          2.0015448e-010                               0
          2.0192576e-010                               0
          2.0369704e-010                               0
          2.0546831e-010                               0
          2.0723959e-010                               0
          2.0901087e-010                               0
          2.1078215e-010                               0
          2.1255343e-010                               0
          2.1432471e-010                               0
          2.1609599e-010                               0
          2.1786726e-010                               0
          2.1963854e-010                               0
          2.2140982e-010                               0
           2.231811e-010                               0
          2.2495238e-010                               0
          2.2672366e-010                               0
          2.2849494e-010                               0
          2.3026621e-010                               0
          2.3203749e-010                               0
          2.3380877e-010                               0
          2.3558005e-010                               0
          2.3735133e-010                               0
          2.3912261e-010                               0
          2.4089389e-010                               0
          2.4266516e-010                               0
          2.4443644e-010                               0
          2.4620772e-010                               0
            2.47979e-010                               0
          2.4975028e-010                               0
          2.5152156e-010                               0
          2.5329284e-010                               0
          2.5506411e-010                               0
          2.5683539e-010                               0
          2.5860667e-010                               0
          2.6037795e-010                               0
          2.6214923e-010                               0
          2.6392051e-010                               0
          2.6569179e-010                               0
          2.6746306e-010                               0
          2.6923434e-010                               0
          2.7100562e-010                               0
           2.727769e-010                               0
          2.7454818e-010                               0
          2.7631946e-010                               0
          2.7809074e-010                               0
          2.7986201e-010                               0
          2.8163329e-010                               0
          2.8340457e-010                               0
          2.8517585e-010                               0
          2.8694713e-010                               0
          2.8871841e-010                               0
          2.9048969e-010                               0
          2.9226096e-010                               0
          2.9403224e-010                               0
