        Time / s                3observer [1]/real
----------------------------------------------------------------------
                       0                               0
          1.6800097e-012                               0
          3.3600193e-012                               0
           5.040029e-012                               0
          6.7200387e-012                               0
          8.4000483e-012                               0
          1.0080058e-011                               0
          1.1760068e-011                               0
          1.3440077e-011                               0
          1.5120087e-011                               0
          1.6800097e-011                               0
          1.8480106e-011                               0
          2.0160116e-011                               0
          2.1840126e-011                               0
          2.3520135e-011                               0
          2.5200145e-011                               0
          2.6880155e-011                               0
          2.8560164e-011                               0
          3.0240174e-011                               0
          3.1920184e-011                               0
          3.3600193e-011                               0
          3.5280203e-011                               0
          3.6960213e-011                               0
          3.8640222e-011                               0
          4.0320232e-011                               0
          4.2000242e-011                               0
          4.3680251e-011                               0
          4.5360261e-011                               0
          4.7040271e-011                               0
           4.872028e-011                               0
           5.040029e-011                               0
            5.20803e-011                               0
          5.3760309e-011                               0
          5.5440319e-011                               0
          5.7120329e-011                               0
          5.8800338e-011                               0
          6.0480348e-011                               0
          6.2160358e-011                               0
          6.3840367e-011                               0
          6.5520377e-011                               0
          6.7200387e-011                               0
          6.8880396e-011                               0
          7.0560406e-011                               0
          7.2240416e-011                               0
          7.3920425e-011                               0
          7.5600435e-011                               0
          7.7280445e-011                               0
          7.8960454e-011                               0
          8.0640464e-011                               0
          8.2320474e-011                               0
          8.4000483e-011                               0
          8.5680493e-011                               0
          8.7360503e-011                               0
          8.9040512e-011                               0
          9.0720522e-011                               0
          9.2400532e-011                               0
          9.4080541e-011                               0
          9.5760551e-011                               0
          9.7440561e-011                               0
           9.912057e-011                               0
          1.0080058e-010                               0
          1.0248059e-010                               0
           1.041606e-010                               0
          1.0584061e-010                               0
          1.0752062e-010                               0
          1.0920063e-010                               0
          1.1088064e-010                               0
          1.1256065e-010                               0
          1.1424066e-010                               0
          1.1592067e-010                               0
          1.1760068e-010                               0
          1.1928069e-010                               0
           1.209607e-010                               0
          1.2264071e-010                               0
          1.2432072e-010                               0
          1.2600073e-010                               0
          1.2768073e-010                               0
          1.2936074e-010                               0
          1.3104075e-010                               0
          1.3272076e-010                               0
          1.3440077e-010                               0
          1.3608078e-010                               0
          1.3776079e-010                               0
           1.394408e-010                               0
          1.4112081e-010                               0
          1.4280082e-010                               0
          1.4448083e-010                               0
          1.4616084e-010                               0
          1.4784085e-010                               0
          1.4952086e-010                               0
          1.5120087e-010                               0
          1.5288088e-010                               0
          1.5456089e-010                               0
           1.562409e-010                               0
          1.5792091e-010                               0
          1.5960092e-010                               0
          1.6128093e-010                               0
          1.6296094e-010                               0
          1.6464095e-010                               0
          1.6632096e-010                               0
          1.6800097e-010                               0
          1.6968098e-010                               0
          1.7136099e-010                               0
            1.73041e-010                               0
          1.7472101e-010                               0
          1.7640102e-010                               0
          1.7808102e-010                               0
          1.7976103e-010                               0
          1.8144104e-010                               0
          1.8312105e-010                               0
          1.8480106e-010                               0
          1.8648107e-010                               0
          1.8816108e-010                               0
          1.8984109e-010                               0
           1.915211e-010                               0
          1.9320111e-010                               0
          1.9488112e-010                               0
          1.9656113e-010                               0
          1.9824114e-010                               0
          1.9992115e-010                               0
          2.0160116e-010                               0
          2.0328117e-010                               0
          2.0496118e-010                               0
          2.0664119e-010                               0
           2.083212e-010                               0
          2.1000121e-010                               0
          2.1168122e-010                               0
          2.1336123e-010                               0
          2.1504124e-010                               0
          2.1672125e-010                               0
          2.1840126e-010                               0
          2.2008127e-010                               0
          2.2176128e-010                               0
          2.2344129e-010                               0
           2.251213e-010                               0
          2.2680131e-010                               0
          2.2848131e-010                               0
          2.3016132e-010                               0
          2.3184133e-010                               0
          2.3352134e-010                               0
          2.3520135e-010                               0
          2.3688136e-010                               0
          2.3856137e-010                               0
          2.4024138e-010                               0
          2.4192139e-010                               0
           2.436014e-010                               0
          2.4528141e-010                               0
          2.4696142e-010                               0
          2.4864143e-010                               0
          2.5032144e-010                               0
          2.5200145e-010                               0
          2.5368146e-010                               0
          2.5536147e-010                               0
          2.5704148e-010                               0
          2.5872149e-010                               0
           2.604015e-010                               0
          2.6208151e-010                               0
          2.6376152e-010                               0
          2.6544153e-010                               0
          2.6712154e-010                               0
          2.6880155e-010                               0
          2.7048156e-010                               0
          2.7216157e-010                               0
          2.7384158e-010                               0
          2.7552159e-010                               0
           2.772016e-010                               0
           2.788816e-010                               0
          2.8056161e-010                               0
