        Time / s                E-Field (0 0 0.374765)(X) [1]/real
----------------------------------------------------------------------
                       0                               0
           1.769353e-012                               0
           3.538706e-012                               0
          5.3080589e-012                               0
          7.0774119e-012                               0
          8.8467649e-012                               0
          1.0616118e-011                               0
          1.2385471e-011                               0
          1.4154824e-011                               0
          1.5924177e-011                               0
           1.769353e-011                               0
          1.9462883e-011                               0
          2.1232236e-011                               0
          2.3001589e-011                               0
          2.4770942e-011                               0
          2.6540295e-011                               0
          2.8309648e-011                               0
          3.0079001e-011                               0
          3.1848354e-011                               0
          3.3617707e-011                               0
           3.538706e-011                               0
          3.7156413e-011                               0
          3.8925766e-011                               0
          4.0695119e-011                               0
          4.2464472e-011                               0
          4.4233825e-011                               0
          4.6003178e-011                               0
           4.777253e-011                               0
          4.9541883e-011                               0
          5.1311236e-011                               0
          5.3080589e-011                               0
          5.4849942e-011                               0
          5.6619295e-011                               0
          5.8388648e-011                               0
          6.0158001e-011                               0
          6.1927354e-011                               0
          6.3696707e-011                               0
           6.546606e-011                               0
          6.7235413e-011                               0
          6.9004766e-011                               0
          7.0774119e-011                               0
          7.2543472e-011                               0
          7.4312825e-011                               0
          7.6082178e-011                               0
          7.7851531e-011                               0
          7.9620884e-011                               0
          8.1390237e-011                               0
           8.315959e-011                               0
          8.4928943e-011                               0
          8.6698296e-011                               0
          8.8467649e-011                               0
          9.0237002e-011                               0
          9.2006355e-011                               0
          9.3775708e-011                               0
          9.5545061e-011                               0
          9.7314414e-011                               0
          9.9083767e-011                               0
          1.0085312e-010                               0
          1.0262247e-010                               0
          1.0439183e-010                               0
          1.0616118e-010                               0
          1.0793053e-010                               0
          1.0969988e-010                               0
          1.1146924e-010                               0
          1.1323859e-010                               0
          1.1500794e-010                               0
           1.167773e-010                               0
          1.1854665e-010                               0
            1.20316e-010                               0
          1.2208536e-010                               0
          1.2385471e-010                               0
          1.2562406e-010                               0
          1.2739341e-010                               0
          1.2916277e-010                               0
          1.3093212e-010                               0
          1.3270147e-010                               0
          1.3447083e-010                               0
          1.3624018e-010                               0
          1.3800953e-010                               0
          1.3977889e-010                               0
          1.4154824e-010                               0
          1.4331759e-010                               0
          1.4508694e-010                               0
           1.468563e-010                               0
          1.4862565e-010                               0
            1.50395e-010                               0
          1.5216436e-010                               0
          1.5393371e-010                               0
          1.5570306e-010                               0
          1.5747242e-010                               0
          1.5924177e-010                               0
          1.6101112e-010                               0
          1.6278047e-010                               0
          1.6454983e-010                               0
          1.6631918e-010                               0
          1.6808853e-010                               0
          1.6985789e-010                               0
          1.7162724e-010                               0
          1.7339659e-010                               0
          1.7516595e-010                               0
           1.769353e-010                               0
          1.7870465e-010                               0
            1.80474e-010                               0
          1.8224336e-010                               0
          1.8401271e-010                               0
          1.8578206e-010                               0
          1.8755142e-010                               0
          1.8932077e-010                               0
          1.9109012e-010                               0
          1.9285947e-010                               0
          1.9462883e-010                               0
          1.9639818e-010                               0
          1.9816753e-010                               0
          1.9993689e-010                               0
          2.0170624e-010                               0
          2.0347559e-010                               0
          2.0524495e-010                               0
           2.070143e-010                               0
          2.0878365e-010                               0
            2.10553e-010                               0
          2.1232236e-010                               0
          2.1409171e-010                               0
          2.1586106e-010                               0
          2.1763042e-010                               0
          2.1939977e-010                               0
          2.2116912e-010                               0
          2.2293848e-010                               0
          2.2470783e-010                               0
          2.2647718e-010                               0
          2.2824653e-010                               0
          2.3001589e-010                               0
          2.3178524e-010                               0
          2.3355459e-010                               0
          2.3532395e-010                               0
           2.370933e-010                               0
          2.3886265e-010                               0
          2.4063201e-010                               0
          2.4240136e-010                               0
          2.4417071e-010                               0
          2.4594006e-010                               0
          2.4770942e-010                               0
          2.4947877e-010                               0
          2.5124812e-010                               0
          2.5301748e-010                               0
          2.5478683e-010                               0
          2.5655618e-010                               0
          2.5832554e-010                               0
          2.6009489e-010                               0
          2.6186424e-010                               0
          2.6363359e-010                               0
          2.6540295e-010                               0
           2.671723e-010                               0
          2.6894165e-010                               0
          2.7071101e-010                               0
          2.7248036e-010                               0
          2.7424971e-010                               0
          2.7601907e-010                               0
          2.7778842e-010                               0
          2.7955777e-010                               0
          2.8132712e-010                               0
          2.8309648e-010                               0
          2.8486583e-010                               0
          2.8663518e-010                               0
          2.8840454e-010                               0
          2.9017389e-010                               0
          2.9194324e-010                               0
          2.9371259e-010                               0
