        Time / s                E-Field (0 0 )(X) [1]/real
----------------------------------------------------------------------
                       0                               0
          1.0452614e-012                               0
          2.0905228e-012                               0
          3.1357842e-012                               0
          4.1810456e-012                               0
          5.2263071e-012                               0
          6.2715685e-012                               0
          7.3168299e-012                               0
          8.3620913e-012                               0
          9.4073527e-012                               0
          1.0452614e-011                               0
          1.1497876e-011                               0
          1.2543137e-011                               0
          1.3588398e-011                               0
           1.463366e-011                               0
          1.5678921e-011                               0
          1.6724183e-011                               0
          1.7769444e-011                               0
          1.8814705e-011                               0
          1.9859967e-011                               0
          2.0905228e-011                               0
           2.195049e-011                               0
          2.2995751e-011                               0
          2.4041012e-011                               0
          2.5086274e-011                               0
          2.6131535e-011                               0
          2.7176797e-011                               0
          2.8222058e-011                               0
           2.926732e-011                               0
          3.0312581e-011                               0
          3.1357842e-011                               0
          3.2403104e-011                               0
          3.3448365e-011                               0
          3.4493627e-011                               0
          3.5538888e-011                               0
          3.6584149e-011                               0
          3.7629411e-011                               0
          3.8674672e-011                               0
          3.9719934e-011                               0
          4.0765195e-011                               0
          4.1810456e-011                               0
          4.2855718e-011                               0
          4.3900979e-011                               0
          4.4946241e-011                               0
          4.5991502e-011                               0
          4.7036764e-011                               0
          4.8082025e-011                               0
          4.9127286e-011                               0
          5.0172548e-011                               0
          5.1217809e-011                               0
          5.2263071e-011                               0
          5.3308332e-011                               0
          5.4353593e-011                               0
          5.5398855e-011                               0
          5.6444116e-011                               0
          5.7489378e-011                               0
          5.8534639e-011                               0
            5.95799e-011                               0
          6.0625162e-011                               0
          6.1670423e-011                               0
          6.2715685e-011                               0
          6.3760946e-011                               0
          6.4806208e-011                               0
          6.5851469e-011                               0
           6.689673e-011                               0
          6.7941992e-011                               0
          6.8987253e-011                               0
          7.0032515e-011                               0
          7.1077776e-011                               0
          7.2123037e-011                               0
          7.3168299e-011                               0
           7.421356e-011                               0
          7.5258822e-011                               0
          7.6304083e-011                               0
          7.7349344e-011                               0
          7.8394606e-011                               0
          7.9439867e-011                               0
          8.0485129e-011                               0
           8.153039e-011                               0
          8.2575652e-011                               0
          8.3620913e-011                               0
          8.4666174e-011                               0
          8.5711436e-011                               0
          8.6756697e-011                               0
          8.7801959e-011                               0
           8.884722e-011                               0
          8.9892481e-011                               0
          9.0937743e-011                               0
          9.1983004e-011                               0
          9.3028266e-011                               0
          9.4073527e-011                               0
          9.5118788e-011                               0
           9.616405e-011                               0
          9.7209311e-011                               0
          9.8254573e-011                               0
          9.9299834e-011                               0
           1.003451e-010                               0
          1.0139036e-010                               0
          1.0243562e-010                               0
          1.0348088e-010                               0
          1.0452614e-010                               0
           1.055714e-010                               0
          1.0661666e-010                               0
          1.0766193e-010                               0
          1.0870719e-010                               0
          1.0975245e-010                               0
          1.1079771e-010                               0
          1.1184297e-010                               0
          1.1288823e-010                               0
          1.1393349e-010                               0
          1.1497876e-010                               0
          1.1602402e-010                               0
          1.1706928e-010                               0
          1.1811454e-010                               0
           1.191598e-010                               0
          1.2020506e-010                               0
          1.2125032e-010                               0
          1.2229559e-010                               0
          1.2334085e-010                               0
          1.2438611e-010                               0
          1.2543137e-010                               0
          1.2647663e-010                               0
          1.2752189e-010                               0
          1.2856715e-010                               0
          1.2961242e-010                               0
          1.3065768e-010                               0
          1.3170294e-010                               0
           1.327482e-010                               0
          1.3379346e-010                               0
          1.3483872e-010                               0
          1.3588398e-010                               0
          1.3692924e-010                               0
          1.3797451e-010                               0
          1.3901977e-010                               0
          1.4006503e-010                               0
          1.4111029e-010                               0
          1.4215555e-010                               0
          1.4320081e-010                               0
          1.4424607e-010                               0
          1.4529134e-010                               0
           1.463366e-010                               0
          1.4738186e-010                               0
          1.4842712e-010                               0
          1.4947238e-010                               0
          1.5051764e-010                               0
           1.515629e-010                               0
          1.5260817e-010                               0
          1.5365343e-010                               0
          1.5469869e-010                               0
          1.5574395e-010                               0
          1.5678921e-010                               0
          1.5783447e-010                               0
          1.5887973e-010                               0
            1.59925e-010                               0
          1.6097026e-010                               0
          1.6201552e-010                               0
          1.6306078e-010                               0
          1.6410604e-010                               0
           1.651513e-010                               0
          1.6619656e-010                               0
          1.6724183e-010                               0
          1.6828709e-010                               0
          1.6933235e-010                               0
          1.7037761e-010                               0
          1.7142287e-010                               0
          1.7246813e-010                               0
          1.7351339e-010                               0
